Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC
Logistic Regression with SMOTE,0.9742635441171307,0.05813953488372093,0.9183673469387755,0.10935601458080195,0.9698482164390798
Random Forest,0.9995259997893332,0.961038961038961,0.7551020408163265,0.8457142857142858,0.9580765743973446
